id,seller_id,latitude,longitude,datetime,created_at,updated_at
112,34,3.493089,-76.4952391,2020-07-06 10:43:51,2020-07-06 10:43:51,2020-07-06 10:43:51
113,1,7.1297013,-73.1221591,2020-07-06 10:43:55,2020-07-06 10:43:55,2020-07-06 10:43:55
114,3,7.1312004,-73.1297557,2020-07-06 10:43:55,2020-07-06 10:43:55,2020-07-06 10:43:55
115,3,7.1312233,-73.1297588,2020-07-06 10:44:21,2020-07-06 10:44:21,2020-07-06 10:44:21
116,1,7.1297013,-73.1221591,2020-07-06 10:44:25,2020-07-06 10:44:25,2020-07-06 10:44:25
117,3,7.1311915,-73.1297524,2020-07-06 10:44:51,2020-07-06 10:44:51,2020-07-06 10:44:51
118,1,7.1297013,-73.1221591,2020-07-06 10:44:56,2020-07-06 10:44:56,2020-07-06 10:44:56
119,3,7.131174,-73.1297514,2020-07-06 10:45:21,2020-07-06 10:45:21,2020-07-06 10:45:21
120,3,7.131174,-73.1297514,2020-07-06 10:45:24,2020-07-06 10:45:24,2020-07-06 10:45:24
121,1,7.1297013,-73.1221591,2020-07-06 10:45:26,2020-07-06 10:45:26,2020-07-06 10:45:26
122,3,7.1311732,-73.1297498,2020-07-06 10:45:52,2020-07-06 10:45:52,2020-07-06 10:45:52
123,1,7.1297048,-73.1220891,2020-07-06 10:45:57,2020-07-06 10:45:57,2020-07-06 10:45:57
124,3,7.1311741,-73.1297499,2020-07-06 10:46:25,2020-07-06 10:46:25,2020-07-06 10:46:25
125,1,7.1297012,-73.1220035,2020-07-06 10:46:27,2020-07-06 10:46:27,2020-07-06 10:46:27
126,34,3.493089,-76.4952391,2020-07-06 10:46:51,2020-07-06 10:46:51,2020-07-06 10:46:51
127,3,7.1311713,-73.1297499,2020-07-06 10:46:56,2020-07-06 10:46:56,2020-07-06 10:46:56
128,1,7.1297012,-73.1220035,2020-07-06 10:46:57,2020-07-06 10:46:57,2020-07-06 10:46:57
129,3,7.1311743,-73.129751,2020-07-06 10:47:26,2020-07-06 10:47:26,2020-07-06 10:47:26
130,1,7.1296663,-73.1221261,2020-07-06 10:47:28,2020-07-06 10:47:28,2020-07-06 10:47:28
131,1,7.1296663,-73.1221261,2020-07-06 10:47:36,2020-07-06 10:47:36,2020-07-06 10:47:36
132,3,7.131174,-73.129746,2020-07-06 10:47:57,2020-07-06 10:47:57,2020-07-06 10:47:57
133,1,7.12964,-73.1221488,2020-07-06 10:47:58,2020-07-06 10:47:58,2020-07-06 10:47:58
134,74,4.6564496,-74.1578532,2020-07-06 10:48:07,2020-07-06 10:48:07,2020-07-06 10:48:07
135,21,4.145395,-73.586715,2020-07-06 10:48:14,2020-07-06 10:48:14,2020-07-06 10:48:14
136,3,7.1311741,-73.1297494,2020-07-06 10:48:27,2020-07-06 10:48:27,2020-07-06 10:48:27
138,1,7.1296968,-73.122084,2020-07-06 10:48:29,2020-07-06 10:48:29,2020-07-06 10:48:29
139,3,7.1311741,-73.1297494,2020-07-06 10:48:55,2020-07-06 10:48:55,2020-07-06 10:48:55
140,3,7.1312258,-73.1297588,2020-07-06 10:48:57,2020-07-06 10:48:57,2020-07-06 10:48:57
141,1,7.1296043,-73.1221421,2020-07-06 10:49:00,2020-07-06 10:49:00,2020-07-06 10:49:00
142,34,3.493089,-76.4952391,2020-07-06 10:49:03,2020-07-06 10:49:03,2020-07-06 10:49:03
143,3,7.1312232,-73.1297612,2020-07-06 10:49:27,2020-07-06 10:49:27,2020-07-06 10:49:27
144,1,7.1297114,-73.1220897,2020-07-06 10:49:30,2020-07-06 10:49:30,2020-07-06 10:49:30
145,3,7.131223,-73.129758,2020-07-06 10:49:58,2020-07-06 10:49:58,2020-07-06 10:49:58
146,1,7.1295823,-73.1221573,2020-07-06 10:50:02,2020-07-06 10:50:02,2020-07-06 10:50:02
147,3,7.1312238,-73.1297607,2020-07-06 10:50:28,2020-07-06 10:50:28,2020-07-06 10:50:28
148,1,7.1296443,-73.1221011,2020-07-06 10:50:32,2020-07-06 10:50:32,2020-07-06 10:50:32
149,3,7.1312233,-73.1297558,2020-07-06 10:50:58,2020-07-06 10:50:58,2020-07-06 10:50:58
150,1,7.1295901,-73.1221621,2020-07-06 10:51:02,2020-07-06 10:51:02,2020-07-06 10:51:02
151,3,7.131223,-73.1297589,2020-07-06 10:51:29,2020-07-06 10:51:29,2020-07-06 10:51:29
152,1,7.1296136,-73.122096,2020-07-06 10:51:33,2020-07-06 10:51:33,2020-07-06 10:51:33
153,21,4.145405,-73.5866783,2020-07-06 10:51:47,2020-07-06 10:51:47,2020-07-06 10:51:47
154,3,7.1312222,-73.129757,2020-07-06 10:51:59,2020-07-06 10:51:59,2020-07-06 10:51:59
155,34,3.493089,-76.4952391,2020-07-06 10:52:03,2020-07-06 10:52:03,2020-07-06 10:52:03
156,1,7.129637,-73.1219876,2020-07-06 10:52:04,2020-07-06 10:52:04,2020-07-06 10:52:04
157,3,7.1312203,-73.1297543,2020-07-06 10:52:29,2020-07-06 10:52:29,2020-07-06 10:52:29
158,1,7.1295218,-73.1221381,2020-07-06 10:52:34,2020-07-06 10:52:34,2020-07-06 10:52:34
159,1,7.1295218,-73.1221381,2020-07-06 10:52:36,2020-07-06 10:52:36,2020-07-06 10:52:36
160,3,7.1311851,-73.12975,2020-07-06 10:53:05,2020-07-06 10:53:05,2020-07-06 10:53:05
161,1,7.1295785,-73.1220668,2020-07-06 10:53:05,2020-07-06 10:53:05,2020-07-06 10:53:05
162,3,7.1312231,-73.1297587,2020-07-06 10:53:35,2020-07-06 10:53:35,2020-07-06 10:53:35
163,1,7.1295784,-73.1220668,2020-07-06 10:53:35,2020-07-06 10:53:35,2020-07-06 10:53:35
164,3,7.1312231,-73.1297587,2020-07-06 10:53:55,2020-07-06 10:53:55,2020-07-06 10:53:55
165,34,3.493089,-76.4952391,2020-07-06 10:54:03,2020-07-06 10:54:03,2020-07-06 10:54:03
166,3,7.1312214,-73.129757,2020-07-06 10:54:05,2020-07-06 10:54:05,2020-07-06 10:54:05
167,1,7.1297006,-73.1221359,2020-07-06 10:54:06,2020-07-06 10:54:06,2020-07-06 10:54:06
168,1,7.1297145,-73.1220921,2020-07-06 10:54:36,2020-07-06 10:54:36,2020-07-06 10:54:36
169,3,7.1312231,-73.1297582,2020-07-06 10:54:36,2020-07-06 10:54:36,2020-07-06 10:54:36
170,1,7.1296859,-73.1220449,2020-07-06 10:55:06,2020-07-06 10:55:06,2020-07-06 10:55:06
171,3,7.1312233,-73.1297588,2020-07-06 10:55:06,2020-07-06 10:55:06,2020-07-06 10:55:06
172,1,7.1295388,-73.1220526,2020-07-06 10:55:36,2020-07-06 10:55:36,2020-07-06 10:55:36
173,3,7.1311856,-73.1297504,2020-07-06 10:55:36,2020-07-06 10:55:36,2020-07-06 10:55:36
174,3,7.1311739,-73.1297468,2020-07-06 10:56:07,2020-07-06 10:56:07,2020-07-06 10:56:07
175,1,7.1295875,-73.1220473,2020-07-06 10:56:07,2020-07-06 10:56:07,2020-07-06 10:56:07
176,3,7.1311969,-73.1297565,2020-07-06 10:56:37,2020-07-06 10:56:37,2020-07-06 10:56:37
177,1,7.1295655,-73.1220547,2020-07-06 10:56:37,2020-07-06 10:56:37,2020-07-06 10:56:37
178,34,3.493089,-76.4952391,2020-07-06 10:57:04,2020-07-06 10:57:04,2020-07-06 10:57:04
179,3,7.1312219,-73.1297615,2020-07-06 10:57:07,2020-07-06 10:57:07,2020-07-06 10:57:07
180,1,7.1294732,-73.1221419,2020-07-06 10:57:08,2020-07-06 10:57:08,2020-07-06 10:57:08
181,3,7.1312219,-73.1297615,2020-07-06 10:57:13,2020-07-06 10:57:13,2020-07-06 10:57:13
182,3,7.1312219,-73.1297615,2020-07-06 10:57:18,2020-07-06 10:57:18,2020-07-06 10:57:18
183,1,7.1294732,-73.1221419,2020-07-06 10:57:36,2020-07-06 10:57:36,2020-07-06 10:57:36
184,3,7.1312188,-73.1297568,2020-07-06 10:57:38,2020-07-06 10:57:38,2020-07-06 10:57:38
185,1,7.1294705,-73.1222156,2020-07-06 10:57:39,2020-07-06 10:57:39,2020-07-06 10:57:39
186,3,7.1312224,-73.1297571,2020-07-06 10:58:08,2020-07-06 10:58:08,2020-07-06 10:58:08
187,1,7.1295373,-73.12221,2020-07-06 10:58:09,2020-07-06 10:58:09,2020-07-06 10:58:09
